Timestamp,Operation,Coin,Price,Momentum,Price Change %,Trading Pair
2024-12-09T01:00:08.579893,SELL,NEO,11.21,True,4.4734389561975805,NEO[USDT]
2024-12-09T01:00:08.595958,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.615713,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.631625,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.650641,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.667192,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.686667,SELL,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:08.703334,BUY,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.723813,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.740448,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:08.763965,SELL,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:08.779789,BUY,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:08.798586,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.814799,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:08.834221,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.850618,BUY,NEO,11.28,True,5.125815470643047,NEO[USDT]
2024-12-09T01:00:08.870356,SELL,NEO,11.27,True,5.032618825722266,NEO[USDT]
2024-12-09T01:00:08.886348,BUY,NEO,11.27,True,5.032618825722266,NEO[USDT]
2024-12-09T01:00:08.905260,SELL,NEO,11.27,True,5.032618825722266,NEO[USDT]
2024-12-09T01:00:08.920511,BUY,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.941706,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.958190,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.975982,SELL,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:08.991807,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:09.013061,SELL,NEO,11.16,True,4.00745573159366,NEO[USDT]
2024-12-09T01:00:09.030717,BUY,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:09.049150,SELL,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:09.065321,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:09.085758,SELL,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:09.101260,BUY,NEO,11.16,True,4.00745573159366,NEO[USDT]
2024-12-09T01:00:09.119968,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:09.136287,BUY,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:09.158961,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:09.172749,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:09.195920,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:09.209508,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:09.228783,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:09.246263,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:09.265983,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:09.281887,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:09.300781,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:09.318858,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:09.336865,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:09.353516,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:09.376479,SELL,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:09.391970,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:10.113971,BUY,XMR,168.7,True,3.0543677458766036,XMR[USDT]
2024-12-09T01:00:10.134179,BUY,NEO,11.1,True,3.4482758620689578,NEO[USDT]
2024-12-09T01:00:10.155202,BUY,XMR,169.1,True,3.2987171655467358,XMR[USDT]
2024-12-09T01:00:10.182396,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:10.204355,BUY,XMR,168.9,True,3.1765424557116786,XMR[USDT]
2024-12-09T01:00:10.218950,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:10.244562,BUY,XMR,169.0,True,3.237629810629207,XMR[USDT]
2024-12-09T01:00:10.262378,BUY,NEO,11.16,True,4.00745573159366,NEO[USDT]
2024-12-09T01:00:10.282488,BUY,XMR,169.0,True,3.237629810629207,XMR[USDT]
2024-12-09T01:00:10.300407,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:10.319689,BUY,XMR,169.3,True,3.4208918753818103,XMR[USDT]
2024-12-09T01:00:10.340542,BUY,NEO,11.16,True,4.00745573159366,NEO[USDT]
2024-12-09T01:00:10.362972,BUY,XMR,169.2,True,3.359804520464264,XMR[USDT]
